Rank,Category,Bulgarian,English,Spoken,Source
61,Verbs,сме,we are,sme,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
62,Adjectives & adverbs,всички,all; everyone,vsichki,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
63,Other common words,нали,right? isn't it?,nali,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
64,Greetings & polite phrases,благодаря,thank you,blagodarya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
65,Other common words,тази,this,tazi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
66,Negation,нищо,nothing,nishto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
67,Numbers,един,one; a,edin,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
68,Adjectives & adverbs,малко,little; a little,malko,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
69,Verbs,знаеш,you know,znaesh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
70,Adjectives & adverbs,толкова,so much; so,tolkova,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
71,Adjectives & adverbs,най,most; -est,nay,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
72,Other common words,там,there,tam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
73,Greetings & polite phrases,хайде,come on; let's go,hayde,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
74,Verbs,искаш,you want,iskash,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
75,Time,време,time; weather,vreme,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
76,Prepositions & conjunctions,след,after,sled,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
77,Prepositions & conjunctions,защото,because,zashtoto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
78,Verbs,мисля,I think,mislya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
79,Questions & relative words,кой,who; which,koy,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
80,Questions & relative words,който,who; which; that,koyto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
81,Verbs,имам,I have,imam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
82,Adjectives & adverbs,вече,already; now,veche,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
83,Other common words,някой,someone,nyakoy,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
84,Prepositions & conjunctions,преди,before,predi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
85,Other common words,тези,these,tezi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
86,Greetings & polite phrases,моля,please; I ask,molya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
87,Pronouns & particles,него,him,nego,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
88,Other common words,каза,said,kaza,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
89,Adjectives & adverbs,наистина,really; truly,naistina,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
90,Verbs,можеш,you can,mozhesh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
91,Verbs,става,happens; becomes; works,stava,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
92,Pronouns & particles,вие,you formal/plural,vie,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
93,Adjectives & adverbs,точно,exactly,tochno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
94,Pronouns & particles,ние,we,nie,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
95,Verbs,съжалявам,I am sorry,sazhalyavam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
96,Questions & relative words,които,who; which plural,koito,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
97,Numbers,една,one; a feminine,edna,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
98,Adjectives & adverbs,повече,more,poveche,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
99,Verbs,имаш,you have,imash,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
100,Time,тогава,then,togava,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
101,Pronouns & particles,им,to them; their,im,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
102,People & family,човек,person; man,chovek,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
103,Prepositions & conjunctions,при,at; by; with,pri,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
104,Prepositions & conjunctions,без,without,bez,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
105,Questions & relative words,колко,how much; how many,kolko,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
106,Numbers,едно,one; a neuter,edno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
107,"Objects, places & abstract nouns",работа,work; job,rabota,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
108,Prepositions & conjunctions,към,toward; to,kam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
109,Adjectives & adverbs,все,always; still; all,vse,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
110,Negation,никога,never,nikoga,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
111,Verbs,кажа,I say; I will say,kazha,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
112,Other common words,ето,here is; there,eto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
113,Time,ден,day,den,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
114,Verbs,значи,means; so,znachi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
115,Time,бях,I was,byah,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
116,Prepositions & conjunctions,през,through; during,prez,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
117,Pronouns & particles,нас,us,nas,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
118,Verbs,правиш,you do; you make,pravish,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
119,People & family,хора,people,hora,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
120,Verbs,бъде,be; will be,bade,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
121,"Objects, places & abstract nouns",път,road; way; time,pat,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
122,Prepositions & conjunctions,със,with,sas,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
123,Time,години,years,godini,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
124,Verbs,мислиш,you think,mislish,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
125,Other common words,дори,even,dori,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
126,Other common words,както,as; just as,kakto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
127,Verbs,бил,was; has been masculine,bil,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
128,People & family,баща,father,bashta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
129,Other common words,ами,well; um,ami,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
130,Verbs,имаме,we have,imame,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
131,Pronouns & particles,вас,you formal/plural object,vas,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
132,Names / colloquial / corpus noise,сър,sir,sar,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
133,Verbs,направи,make; do; made,napravi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
134,Verbs,разбира,understands,razbira,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
135,Questions & relative words,която,which; that feminine,koyato,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
136,Other common words,също,also; too,sashto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
137,Other common words,винаги,always,vinagi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
138,Verbs,виж,look; see,vizh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
139,Verbs,иска,wants,iska,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
140,Pronouns & particles,нея,her,neya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
141,Prepositions & conjunctions,докато,while; until,dokato,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
142,Other common words,всеки,each; every,vseki,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
143,Names / colloquial / corpus noise,дяволите,the hell; devils,dyavolite,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
144,Verbs,видя,saw; see,vidya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
145,Verbs,казах,I said,kazah,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
146,Negation,никой,nobody,nikoy,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
147,Verbs,нека,let; let's,neka,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
148,People & family,хората,the people,horata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
149,Verbs,дали,whether; if,dali,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
150,Verbs,кажи,tell; say imperative,kazhi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
151,People & family,жена,woman; wife,zhena,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
152,Other common words,пак,again,pak,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
153,Prepositions & conjunctions,във,in,vav,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
154,Pronouns & particles,тях,them,tyah,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
155,People & family,майка,mother,mayka,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
156,Other common words,неща,things,neshta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
157,Verbs,направя,I make; I do,napravya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
158,Verbs,можем,we can,mozhem,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
159,Verbs,прави,does; makes,pravi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
160,"Objects, places & abstract nouns",място,place,myasto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
161,Verbs,кажеш,you say; you tell,kazhesh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
162,Pronouns & particles,сам,alone; myself; he is,sam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
163,Greetings & polite phrases,хей,hey,hey,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
164,Verbs,трябваше,had to; should have,tryabvashe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
165,Prepositions & conjunctions,заради,because of,zaradi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
166,"Objects, places & abstract nouns",живота,the life,zhivota,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
167,People & family,татко,dad,tatko,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
168,Names / colloquial / corpus noise,боже,God; oh God,bozhe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
169,Time,днес,today,dnes,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
170,Verbs,изглежда,looks; seems,izglezhda,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
171,Adjectives & adverbs,наред,in order; okay,nared,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
172,Adjectives & adverbs,няколко,several; a few,nyakolko,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
173,Adjectives & adverbs,доста,quite; enough,dosta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
174,Adjectives & adverbs,друг,other; another,drug,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
175,Adjectives & adverbs,добър,good masculine,dobar,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
176,Verbs,бих,I would,bih,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
177,Greetings & polite phrases,здравей,hello,zdravey,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
178,Other common words,отново,again,otnovo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
179,Adjectives & adverbs,добро,good neuter,dobro,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
180,Verbs,обичам,I love,obicham,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
181,Numbers,две,two feminine/neuter,dve,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
182,Verbs,знае,knows,znae,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
183,"Objects, places & abstract nouns",пари,money,pari,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
184,Other common words,затова,therefore; that's why,zatova,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
185,Adjectives & adverbs,бързо,quickly; fast,barzo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
186,Verbs,мислех,I thought,misleh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
187,"Objects, places & abstract nouns",нужда,need,nuzhda,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
188,Time,после,afterwards; later,posle,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
189,Greetings & polite phrases,ей,hey,ey,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
190,Pronouns & particles,моя,my masculine,moya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
191,"Objects, places & abstract nouns",начин,way; method,nachin,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
192,Verbs,бе,was; hey,be,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
193,Other common words,приятел,friend,priyatel,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
194,Adjectives & adverbs,сигурно,surely; probably,sigurno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
195,Verbs,ела,come,ela,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
196,Verbs,дай,give,day,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
197,Verbs,видим,see; we see,vidim,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
198,Negation,нямам,I don't have,nyamam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
199,Adjectives & adverbs,заедно,together,zaedno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
200,Other common words,чакай,wait,chakay,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
201,Time,веднага,immediately,vednaga,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
202,"Objects, places & abstract nouns",проблем,problem,problem,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
203,Numbers,три,three,tri,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
204,Verbs,дойде,came,doyde,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
205,"Objects, places & abstract nouns",живот,life,zhivot,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
206,Time,вечер,evening,vecher,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
207,Verbs,правя,I do; I make,pravya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
208,Adjectives & adverbs,достатъчно,enough,dostatachno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
209,Prepositions & conjunctions,под,under,pod,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
210,Other common words,то,it,to,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
211,Verbs,стана,became; happened,stana,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
212,Verbs,говори,speaks; talk,govori,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
213,Other common words,всъщност,actually,vsashtnost,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
214,Questions & relative words,какъв,what kind of masculine,kakav,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
215,Questions & relative words,каквото,whatever; what,kakvoto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
216,"Objects, places & abstract nouns",колата,the car,kolata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
217,"Objects, places & abstract nouns",нещата,the things,neshtata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
218,Verbs,разбирам,I understand,razbiram,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
219,Verbs,говоря,I speak,govorya,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
220,Other common words,скоро,soon; recently,skoro,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
221,Verbs,казва,says,kazva,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
222,Verbs,исках,I wanted,iskah,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
223,Names / colloquial / corpus noise,господи,Lord; oh Lord,gospodi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
224,Verbs,казвам,I say,kazvam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
225,Verbs,знаете,you know formal/plural,znaete,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
226,Time,утре,tomorrow,utre,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
227,People & family,момчета,boys; guys,momcheta,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
228,Verbs,стане,become; happen,stane,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
229,Verbs,имате,you have formal/plural,imate,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
230,Greetings & polite phrases,здрасти,hi,zdrasti,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
231,Other common words,сигурен,sure masculine,siguren,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
232,Time,късно,late,kasno,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
233,Verbs,харесва,likes,haresva,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
234,Verbs,стига,enough; stop,stiga,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
235,"Objects, places & abstract nouns",работата,the work; the job,rabotata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
236,Verbs,говориш,you speak,govorish,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
237,Questions & relative words,кога,when,koga,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
238,Prepositions & conjunctions,пред,in front of; before,pred,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
239,Other common words,скъпа,dear feminine; expensive feminine,skapa,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
240,Time,нощ,night,nosht,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
241,Other common words,добра,good feminine,dobra,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
242,Questions & relative words,каква,what kind of feminine,kakva,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
243,Greetings & polite phrases,извинете,excuse me formal/plural,izvinete,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
244,People & family,момиче,girl,momiche,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
245,Verbs,виждам,I see,vizhdam,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
246,Pronouns & particles,себе,self,sebe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
247,People & family,мамо,mom vocative,mamo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
248,Verbs,било,was; has been neuter,bilo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
249,Verbs,искате,you want formal/plural,iskate,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
250,Verbs,направим,we make; we do,napravim,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
251,Time,часа,hours; o'clock,chasa,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
252,Verbs,била,was; has been feminine,bila,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
253,Other common words,предвид,in mind; regard,predvid,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
254,Verbs,бяха,they were,byaha,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
255,"Objects, places & abstract nouns",парите,the money,parite,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
256,"Objects, places & abstract nouns",името,the name,imeto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
257,Other common words,друго,other; something else,drugo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
258,Verbs,случи,happen,sluchi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
259,Time,минути,minutes,minuti,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
260,"Objects, places & abstract nouns",част,part; hour,chast,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
261,Prepositions & conjunctions,освен,except; besides,osven,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
262,Verbs,имаше,there was; had,imashe,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
263,Verbs,направиш,you make; you do,napravish,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
264,Numbers,два,two masculine,dva,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
265,Verbs,остави,leave; left,ostavi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
266,Adjectives & adverbs,хубаво,nice; good; well,hubavo,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
267,Adjectives & adverbs,поне,at least,pone,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
268,Prepositions & conjunctions,между,between,mezhdu,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
269,Verbs,видях,I saw,vidyah,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
270,Verbs,били,were; have been plural,bili,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
271,Pronouns & particles,моята,my feminine,moyata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
272,Verbs,помогна,helped,pomogna,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
273,Adjectives & adverbs,двамата,the two of them,dvamata,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
274,Verbs,върна,returned,varna,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
275,Pronouns & particles,мой,my; mine,moy,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
276,Adjectives & adverbs,такъв,such; like that masculine,takav,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
277,Other common words,що,why; what colloquial,shto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
278,Other common words,някои,some plural,nyakoi,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
279,Questions & relative words,където,where,kadeto,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
280,People & family,момче,boy,momche,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
281,People & family,мъж,man; husband,mazh,Wiktionary Bulgarian wordlist (OpenSubtitles-based)
